Rochester Monthly Snowfall

 Season   Sep     Oct     Nov     Dec     Jan     Feb     Mar     Apr     May    Total
1982-83    0       T       3      11.6    10.2    13.6    9.3     12.2     T      59.9
1983-84    0       0      17.6    19.6    23.4    27.8    29.1    0.5      T      118
1984-85    0       0      1.6     11.6    36.8    26.1    8.4     2.6      0      87.1
1985-86    0       0      7.6     18.3    15.5    17.9    9.3     2.1      T      70.7
1986-87    0       0      7.4     9.3     29.6     13     5.3     2.5      0      67.1
1987-88    0       T      4.6     19.3    9.8     29.4    5.6     1.1      0      69.8
1988-89    0      0.1     0.2     10.3     15     30.6    15.6    3.9     10.9    86.6
1989-90    0       T      6.5     32.8     14     31.3    5.4     15.8     T     105.8
1990-91    0       T      4.4     18.2    26.5    16.1     2      1.1      0      68.3
1991-92    0       0      13.7    23.9    18.3    12.8    38.1    3.8      0     110.6
1992-93    0       T      9.5     29.3    22.4    31.2    37.1     2       0     131.5
1993-94    T      2.6     9.8      14      43     35.1    12.1    9.6      0     126.2
1994-95    T       0      2.8     7.6     12.8    23.6    5.3     4.1      0      56.2
1995-96    0       T      23.4    20.5    36.9    14.1    28.6    5.3     1.5    130.3
1996-97    0       0      24.9     14     24.8    13.3    26.4    1.3      0     104.7
1997-98    0      0.1     21.6    26.4    14.6    9.1     27.9     0       0      99.7
1998-99    0       0      0.1     10.1    48.8    4.7      45     2.9      0     111.6
1999-00    0       0      4.7     19.1     42     25.7    13.6    5.6      0     110.7
2000-01    0       T      7.3     39.3    21.6    23.3    41.4    0.1      0      133
2001-02    0       T      0.1     7.1     11.9    18.7    13.8    6.5      T      58.1
2002-03    0.0     0     16.9     41.1    43.4    21.9

Average    0      0.1     8.1     21.9    25.8    22.2    16.6    5.1     0.5    100.3

  MAX      T       5      24.9    46.1    60.4    64.8     54     23.8    10.9   161.7  1959-60
  MIN      0       0       0      2.6      1      4.1     0.9      0       0      29.2  1932-33

 Month    Sep     Oct     Nov     Dec     Jan     Feb     Mar     Apr     May
